Bucket_Owner,Bucket,Time,Remote_IP,Requester,Request_ID,Operation,Key,Request_URI,HTTP_status,Error_Code,Bytes_Sent,Object_Size,Total_Time,Turn_Around_Time,Referrer,User_Agent,Version_Id,Date
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:59:30,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,644C3335FE8C4DEE,REST.GET.OBJECT,logs/2015-06-12-05-55-36-3E52A27FAA2909CA,GET /logs/2015-06-12-05-55-36-3E52A27FAA2909CA HTTP/1.1,200,,602,602,9,9,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:00:34,10.109.99.75,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,9AA308B3A13683D8,REST.GET.LOCATION,,GET /drat?location HTTP/1.1,200,,137,,17,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:55:55,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,087A830C47F07E60,REST.GET.WEBSITE,,GET /drat?website HTTP/1.1,404,NoSuchWebsiteConfiguration,319,,7,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:55:55,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,1596AADCF61AEEBE,REST.GET.LOGGING_STATUS,,GET /drat?logging HTTP/1.1,200,,230,,13,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:55:56,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,87074297C6D38834,REST.GET.VERSIONING,,GET /drat?versioning HTTP/1.1,200,,113,,3,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:56:55,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,50C529A3CCC69249,REST.GET.NOTIFICATION,,GET /?notification HTTP/1.1,200,,115,,13,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:56:56,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,090ADE7686826425,REST.GET.REPLICATION,,GET /?replication HTTP/1.1,404,ReplicationConfigurationNotFoundError,315,,9,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:06:32,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,E44DDDA7C8EA3E8B,REST.GET.NOTIFICATION,,GET /?notification HTTP/1.1,200,,115,,15,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:00:34,10.144.195.173,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,0C2BD6BF5461C673,REST.GET.LOCATION,,GET /drat?location HTTP/1.1,200,,137,,16,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:06:53,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,4EE193287E8CDDC8,REST.PUT.ACL,,PUT /drat?acl HTTP/1.1,200,,,,235,,,S3Console/0.4,,06-12-2015
